income,idapp,Education,income Groups,generation,Facebook,Flickr,Fox.com,LinkedIn,NYTimes.com,Weather.com,TripAdvisor.com,WSJ.com,Validation,Smart phone linear,smart_phone
137499.5,66516,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
97499.5,67173,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,1,0,0,0,1,0,No
224999.5,67664,College degree,1e+5 - High,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
82499.5,68812,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
137499.5,69859,College degree,1e+5 - High,Gen Y (18-30),0,0,0,0,0,0,0,0,0,0,No
38749.5,74349,College degree,31250 - 52500,Younger Boomers (45-54),1,0,0,0,0,1,0,0,1,0,No
57499.5,75671,College degree,52500 - 72500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
72499.5,80927,College degree,52500 - 72500,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
77499.5,81216,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
112499.5,85065,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
46249.5,87720,College degree,31250 - 52500,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
137499.5,89450,College degree,1e+5 - High,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
274999.5,92445,College degree,1e+5 - High,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
48749.5,92711,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
112499.5,95819,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
48749.5,96758,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
46249.5,100038,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
74999.5,100180,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
31249.5,100271,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
64999.5,100507,College degree,52500 - 72500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
64999.5,100865,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
64999.5,101366,College degree,52500 - 72500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
112499.5,101523,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
64999.5,102158,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
17499.5,103640,College degree,Low - 31250,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
64999.5,103650,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,1,0,1,0,No
89999.5,103956,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
42499.5,104032,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,1,0,0,0,0,No
7499.5,104183,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
82499.5,104632,College degree,72500 - 1e+5,Gen Y (18-30),0,0,1,0,1,1,0,1,0,0,No
37499.5,105620,College degree,31250 - 52500,Seniors (66+),1,0,1,0,0,0,0,0,0,0,No
74999.5,106293,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
38749.5,109625,College degree,31250 - 52500,Gen Y (18-30),0,0,0,0,0,0,0,0,0,0,No
32499.5,110087,College degree,31250 - 52500,Seniors (66+),1,0,0,0,0,1,0,0,0,0,No
26249.5,110286,College degree,Low - 31250,Older Boomers (55-65),1,0,0,0,0,0,0,0,1,0,No
67499.5,114101,College degree,52500 - 72500,Younger Boomers (45-54),1,0,0,0,0,1,0,0,0,0,No
137499.5,117446,College degree,1e+5 - High,Older Boomers (55-65),1,0,0,0,0,0,0,0,1,0,No
112499.5,118980,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
33749.5,119783,College degree,31250 - 52500,Younger Boomers (45-54),1,0,0,0,0,0,0,0,0,0,No
72499.5,124131,College degree,52500 - 72500,Gen Y (18-30),0,1,0,0,0,0,0,0,0,0,No
37499.5,130292,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
32499.5,130348,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,1,0,0,0,0,No
32499.5,130940,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,1,0,0,1,0,No
112499.5,132105,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
137499.5,132295,College degree,1e+5 - High,Gen X (31-44),1,0,0,1,0,0,0,0,1,0,No
97499.5,132832,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
62499.5,134343,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
72499.5,134581,College degree,52500 - 72500,Younger Boomers (45-54),1,0,0,0,0,1,0,0,0,0,No
57499.5,136247,College degree,52500 - 72500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
67499.5,136577,College degree,52500 - 72500,Gen X (31-44),0,0,0,0,0,0,0,0,1,0,No
72499.5,136936,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
137499.5,137618,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
8749.5,137942,College degree,Low - 31250,Younger Boomers (45-54),0,0,0,0,0,1,0,0,0,0,No
137499.5,139889,College degree,1e+5 - High,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
17499.5,140023,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
32499.5,141249,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,1,0,0,1,0,No
112499.5,143139,College degree,72500 - 1e+5,Seniors (66+),1,0,0,0,0,1,0,0,1,0,No
82499.5,145741,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
112499.5,146827,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,0,1,0,0,0,0,No
33749.5,151330,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
67499.5,151999,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,1,0,1,0,No
112499.5,152502,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
72499.5,153569,College degree,52500 - 72500,Older Boomers (55-65),0,0,1,0,0,0,0,0,0,0,No
72499.5,154029,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
26249.5,156305,College degree,Low - 31250,Seniors (66+),0,0,1,0,0,0,0,0,0,0,No
112499.5,157955,College degree,72500 - 1e+5,Seniors (66+),1,0,0,0,0,1,0,0,0,0,No
82499.5,158108,College degree,72500 - 1e+5,Younger Boomers (45-54),1,0,0,0,0,1,0,0,0,0,No
8749.5,158512,College degree,Low - 31250,Younger Boomers (45-54),0,0,1,0,0,0,0,0,1,0,No
89999.5,160007,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,1,0,0,0,0,No
89999.5,160080,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,0,1,0,0,0,0,No
89999.5,160091,College degree,72500 - 1e+5,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
47499.5,160225,College degree,31250 - 52500,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
89999.5,160275,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
42499.5,160426,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
64999.5,160544,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,1,0,0,1,0,No
32499.5,160556,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,1,0,0,0,0,No
47499.5,160627,College degree,31250 - 52500,Older Boomers (55-65),1,0,0,0,0,1,0,0,0,0,No
89999.5,160728,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
32499.5,160779,College degree,31250 - 52500,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
74999.5,160782,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,0,1,0,0,0,0,No
17499.5,161024,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,1,0,0,0,No
74999.5,161098,College degree,72500 - 1e+5,Seniors (66+),1,0,0,0,0,1,0,0,1,0,No
74999.5,161127,College degree,72500 - 1e+5,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
74999.5,161474,College degree,72500 - 1e+5,Older Boomers (55-65),1,1,0,0,0,0,0,0,1,0,No
47499.5,161526,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
89999.5,161554,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
112499.5,161823,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
27499.5,161886,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,1,0,0,1,0,No
7499.5,162191,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
57499.5,162226,College degree,52500 - 72500,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
89999.5,162312,College degree,72500 - 1e+5,Seniors (66+),0,0,1,0,0,1,1,1,0,0,No
52499.5,162386,College degree,31250 - 52500,Seniors (66+),1,0,0,0,0,0,0,0,0,0,No
52499.5,162565,College degree,31250 - 52500,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
57499.5,162860,College degree,52500 - 72500,Gen X (31-44),1,0,0,0,0,1,1,0,0,0,No
64999.5,162947,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
64999.5,163080,College degree,52500 - 72500,Gen Y (18-30),1,1,0,0,0,0,0,0,0,0,No
112499.5,163138,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
64999.5,163203,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
64999.5,163356,College degree,52500 - 72500,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
112499.5,163414,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
64999.5,163452,College degree,52500 - 72500,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
32499.5,163456,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
33749.5,163506,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
32499.5,163571,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,1,0,0,1,0,No
64999.5,163795,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
64999.5,163868,College degree,52500 - 72500,Seniors (66+),1,0,0,0,0,0,0,0,0,0,No
64999.5,164000,College degree,52500 - 72500,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
112499.5,164176,College degree,72500 - 1e+5,Seniors (66+),0,0,1,0,0,0,0,0,0,0,No
112499.5,164222,College degree,72500 - 1e+5,Gen Y (18-30),0,0,0,0,0,0,0,0,0,0,No
112499.5,164227,College degree,72500 - 1e+5,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
7499.5,164345,College degree,Low - 31250,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
52499.5,164415,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
52499.5,164763,College degree,31250 - 52500,Gen Y (18-30),0,0,0,0,0,1,0,0,0,0,No
89999.5,164772,College degree,72500 - 1e+5,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
17499.5,164906,College degree,Low - 31250,Gen X (31-44),1,1,0,0,0,0,0,0,1,0,No
64999.5,164935,College degree,52500 - 72500,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
57499.5,165095,College degree,52500 - 72500,Older Boomers (55-65),1,0,0,0,0,0,1,0,1,0,No
112499.5,165102,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,1,0,0,0,No
89999.5,165121,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,1,0,0,0,0,0,0,No
89999.5,165508,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
7499.5,165583,College degree,Low - 31250,Gen X (31-44),0,0,0,1,0,1,0,0,0,0,No
64999.5,165687,College degree,52500 - 72500,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
74999.5,165930,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
52499.5,166463,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
52499.5,166750,College degree,31250 - 52500,Seniors (66+),1,0,0,0,0,1,0,0,0,0,No
52499.5,166787,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
89999.5,166840,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
74999.5,167024,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
64999.5,167928,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,1,0,0,0,0,0,No
32499.5,168002,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
64999.5,168659,College degree,52500 - 72500,Seniors (66+),1,0,0,0,0,0,0,0,0,0,No
64999.5,169407,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
48749.5,169467,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,1,0,0,1,0,No
37499.5,169982,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,1,0,0,0,0,No
42499.5,171993,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,1,0,0,1,0,No
62499.5,172522,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
112499.5,172763,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
46249.5,173208,College degree,31250 - 52500,Gen X (31-44),1,0,0,1,0,0,0,0,1,0,No
8749.5,174705,College degree,Low - 31250,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
274999.5,175720,College degree,1e+5 - High,Younger Boomers (45-54),1,0,0,0,0,0,0,0,0,0,No
87499.5,176164,College degree,72500 - 1e+5,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
112499.5,178383,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
48749.5,178878,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,1,0,0,0,0,0,No
47499.5,180789,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,1,0,0,0,0,No
77499.5,180813,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,1,0,0,0,0,No
13749.5,183497,College degree,Low - 31250,Gen Y (18-30),0,0,0,0,0,0,0,0,1,0,No
31249.5,183979,College degree,Low - 31250,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
62499.5,184450,College degree,52500 - 72500,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
112499.5,184675,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
112499.5,185982,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,1,0,0,1,0,No
72499.5,188443,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
26249.5,189125,College degree,Low - 31250,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
42499.5,190053,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
64999.5,190366,College degree,52500 - 72500,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
46249.5,190793,College degree,31250 - 52500,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
74999.5,191939,College degree,72500 - 1e+5,Seniors (66+),1,0,0,0,0,1,0,0,0,0,No
47499.5,192417,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,1,0,0,0,0,No
64999.5,193136,College degree,52500 - 72500,Gen Y (18-30),1,0,0,0,0,1,0,0,0,0,No
82499.5,196217,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,0,0,0,1,0,No
41249.5,196328,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
57499.5,196383,College degree,52500 - 72500,Gen Y (18-30),1,0,0,0,0,0,0,0,1,0,No
112499.5,197188,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,1,1,0,No
112499.5,197610,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,1,0,0,1,0,No
57499.5,197849,College degree,52500 - 72500,Gen Y (18-30),0,0,0,0,0,0,0,0,1,0,No
38749.5,198551,College degree,31250 - 52500,Seniors (66+),1,0,0,0,0,0,1,0,1,0,No
33749.5,199041,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
97499.5,204022,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
52499.5,204774,College degree,31250 - 52500,Younger Boomers (45-54),1,0,0,0,0,0,0,0,1,0,No
87499.5,205972,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,1,0,0,No
137499.5,212470,College degree,1e+5 - High,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
112499.5,213368,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,1,0,0,1,0,No
82499.5,214144,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
67499.5,214830,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
324999.5,215268,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
77499.5,215309,College degree,72500 - 1e+5,Younger Boomers (45-54),1,0,0,0,0,1,0,0,0,0,No
26249.5,216563,College degree,Low - 31250,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
224999.5,217832,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
112499.5,218891,College degree,72500 - 1e+5,Younger Boomers (45-54),1,0,0,1,0,0,0,0,0,0,No
137499.5,219522,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
112499.5,219687,College degree,72500 - 1e+5,Younger Boomers (45-54),1,0,1,0,0,1,0,0,0,0,No
57499.5,224238,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,1,0,0,0,0,No
33749.5,225036,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
92499.5,226773,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
112499.5,228515,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
82499.5,228546,College degree,72500 - 1e+5,Gen Y (18-30),0,0,0,0,0,0,0,0,0,0,No
67499.5,229200,College degree,52500 - 72500,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
92499.5,229343,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
112499.5,231536,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
67499.5,240592,College degree,52500 - 72500,Gen X (31-44),0,0,0,0,0,1,0,0,0,0,No
137499.5,245342,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
52499.5,245428,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
36249.5,246802,College degree,31250 - 52500,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
77499.5,248695,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
112499.5,249877,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,1,1,0,0,0,No
43749.5,250112,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,1,0,0,0,0,No
52499.5,251059,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
77499.5,252971,College degree,72500 - 1e+5,Younger Boomers (45-54),1,0,0,0,0,0,0,0,0,0,No
43749.5,253251,College degree,31250 - 52500,Older Boomers (55-65),1,0,0,0,0,0,0,0,1,0,No
22499.5,253269,College degree,Low - 31250,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
27499.5,253321,College degree,Low - 31250,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
52499.5,254858,College degree,31250 - 52500,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
52499.5,255313,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
62499.5,255677,College degree,52500 - 72500,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
89999.5,256525,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
27499.5,256562,College degree,Low - 31250,Gen X (31-44),0,0,0,0,0,1,1,0,0,0,No
112499.5,256764,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,1,0,0,1,0,No
47499.5,256791,College degree,31250 - 52500,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
82499.5,257588,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
27499.5,259078,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,1,0,0,0,0,No
82499.5,259539,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
48749.5,260506,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,1,0,0,0,0,0,No
64999.5,264226,College degree,52500 - 72500,Younger Boomers (45-54),0,0,0,0,0,1,0,0,0,0,No
37499.5,264639,College degree,31250 - 52500,Younger Boomers (45-54),1,0,0,0,0,1,0,0,0,0,No
112499.5,265737,College degree,72500 - 1e+5,Gen Y (18-30),0,0,0,0,0,1,0,0,0,0,No
112499.5,272979,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,1,0,No
57499.5,277488,College degree,52500 - 72500,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
137499.5,279840,College degree,1e+5 - High,Older Boomers (55-65),1,0,0,0,0,0,0,0,1,0,No
112499.5,284916,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
41249.5,285438,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
77499.5,286569,College degree,72500 - 1e+5,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
52499.5,290261,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
97499.5,290336,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,1,0,0,0,0,No
31249.5,291684,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
36249.5,291886,College degree,31250 - 52500,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
112499.5,294412,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,1,0,1,0,0,0,0,No
82499.5,295428,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
77499.5,295943,College degree,72500 - 1e+5,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
57499.5,298629,College degree,52500 - 72500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
52499.5,299564,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,1,0,0,0,0,No
112499.5,300018,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
112499.5,300387,College degree,72500 - 1e+5,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
112499.5,301264,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
52499.5,302337,College degree,31250 - 52500,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
32499.5,302547,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,0,0,No
47499.5,302846,College degree,31250 - 52500,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
27499.5,302990,College degree,Low - 31250,Gen X (31-44),1,0,0,0,0,0,0,0,0,0,No
112499.5,303299,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
77499.5,303808,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
89999.5,303965,College degree,72500 - 1e+5,Gen X (31-44),1,0,0,0,0,1,0,0,0,0,No
27499.5,303990,College degree,Low - 31250,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
89999.5,304247,College degree,72500 - 1e+5,Seniors (66+),1,0,0,0,0,0,0,0,0,0,No
47499.5,304415,College degree,31250 - 52500,Gen X (31-44),1,0,0,0,0,0,0,0,1,0,No
