Brand_Key,Brand_Name,Category_Name,Sector,Category_Key,Energized_Differentiation,Relevance,Esteem,Knowledge,Brand_Stature,Brand_Strength,Brand_Asset,Total_Users_pct,Total_Prefer_pct,Different_pct,Distinctive_pct,Unique_pct,Dynamic_pct,Innovative_pct,Leader_pct,Reliable_pct,High_quality_pct,Arrogant_pct,Authentic_pct,Best_Brand_pct,Carefree_pct,Cares_Customers_pct,Charming_pct,Daring_pct,Down_to_Earth_pct,Energetic_pct,Friendly_pct,Fun_pct,Gaining_In_Popularity_pct,Glamorous_pct,Good_Value_pct,Healthy_pct,Helpful_pct,High_Performance_pct,Independent_pct,Intelligent_pct,Kind_pct,Obliging_pct,Original_pct,Prestigious_pct,Progressive_pct,Restrained_pct,Rugged_pct,Sensuous_pct,Simple_pct,Social_pct,Socially_Responsible_pct,Straightforward_pct,Stylish_pct,Traditional_pct,Trendy_pct,Trustworthy_pct,Unapproachable_pct,Up_To_Date_pct,Upper_Class_pct,Visionary_pct,Worth_More_pct
563,Dodge,Automobiles,Auto,5,66.72,66.9,81.71,89.49,85.67,70.66,84.15,10.49,30.93,7.22,10.22,5.78,8.18,8.9,15.24,19.71,14.91,3.69,9.07,6.84,5.11,10.39,4.7,6.77,22.54,9.11,12.05,11.04,7.18,3.59,15.81,2.58,6.98,13.09,7.34,7.9,4.7,5.25,16.64,4.58,7.02,4.34,15.71,2.7,13.89,7.64,7.16,9.44,11.83,13.71,10.94,19.45,3.78,11.11,5.9,8.9,6.03
7,Ferrari,Automobiles,Auto,5,99.22,2.07,61.1,68.96,66.93,68.65,70.43,0.67,13.87,10.91,18.45,14.81,16.69,9.14,11.35,9.93,29.75,15.45,10.4,8.85,6.14,7.17,5.53,13.63,6.01,9.96,6.11,15.21,3.94,18.92,6.22,2.43,4.99,22.1,8.99,9.32,4.12,4.65,12.35,24.55,7.87,3.03,6.18,8,4.72,9.64,5.67,5.38,20.84,4.9,12.16,11.32,11.29,9.15,34.75,9.95,9.09
8,Fiat,Automobiles,Auto,5,86.74,2.01,22.14,62.02,47.49,24.58,43.58,1.02,12.76,11.19,12.9,9.45,6.98,7.25,7.94,9.85,13.05,5.62,6.87,3.4,5.7,5.8,7,6.97,10.07,7.28,8.06,13.11,8.9,5.99,9.08,2.06,4.41,8.16,6.61,6.29,3.68,4.98,12.94,6.69,5.27,4.19,5.44,3.44,10.63,6.48,4.25,4.14,10.81,4.19,14.67,8.54,6.01,7.7,11.96,8.44,3.67
9,Ford,Automobiles,Auto,5,83.26,90.38,96.81,96.73,97.3,93.63,96.96,20.79,43.73,6.88,8.87,7.2,10.5,12.56,22.65,27.13,21.13,4.27,13.09,11.36,4.95,16.84,6.15,7.71,29.01,9.3,16.96,14.58,9.29,4.23,22.7,4.06,9.76,16.19,8.18,11.43,6.35,6.62,21.75,5.04,10.54,4.9,14.68,2.9,15.66,9.05,12.49,10.32,14.12,17.41,11.41,27.85,4.22,16.87,6.59,13.01,9.53
11,General Motors (GM),Automobiles,Auto,5,69.16,86.1,94,95,95.03,87.48,94.03,17.05,41.68,5.26,9.96,5.31,9.47,11.06,22.27,22.56,19.94,5.23,11.19,9.1,4.58,15.01,3.93,6.64,21.28,8.12,12.95,8.84,8.19,4.2,17.24,2.74,8.03,15.28,8.43,12.34,5.4,5.67,20.02,5.65,9.37,4.5,11.35,2.35,11.09,8.51,10.24,9.24,12.15,16.3,10.39,24.46,3.56,14.12,7.54,13.04,8.04
12,Honda,Automobiles,Auto,5,74.85,73.76,95.18,86.97,94.34,81.02,92.54,11.17,37.49,6.02,10.08,6.18,9.66,10.8,20.23,28.92,25.25,1.95,10.23,8.9,5.03,14.04,5.67,6.17,23.62,6.78,15.4,15.04,8.18,2.99,25.86,2.69,7.34,14.12,9.09,11.52,5.39,5.29,15.72,4.43,10.33,4.77,7.79,1.85,16.14,7.72,9.97,10.66,11.75,8.54,12.53,26.09,3.2,14.4,6.49,12.37,8.32
13,Hyundai,Automobiles,Auto,5,71.95,40.77,65.43,78.87,73.5,55.87,72.52,4.43,23.67,8.07,8.67,8.49,7.73,8.98,10.27,18.33,13.09,2.7,6.74,5.87,4.82,10.42,5.35,6.63,17.9,6.97,11.43,11.24,12.79,3.14,20.59,2.43,5.72,9.19,8.37,7.69,5.28,6.06,10.1,3.74,9.57,4.69,5.89,2.48,15.06,7.31,8.21,7.36,10.6,5.19,11.04,14.52,3.93,9.55,5.23,11.34,4.27
576,Infiniti,Automobiles,Auto,5,82.31,15.53,61.5,63.65,64.89,47.57,64.4,1.13,18.92,5.6,12.71,8.35,10.42,8.56,11.24,13.13,23.36,8.81,6.8,5.2,3.86,7.42,4.32,6.61,8.13,7.16,7.48,7.66,7.23,8.6,6.15,2.33,4.95,14.31,5.81,10.77,4.28,4.36,9.47,14.52,7.44,4.22,4.8,3.46,5.33,7.05,5.09,5.22,15.08,3.24,11.74,12,6.38,10.17,20.88,10.67,6.62
14,Jaguar,Automobiles,Auto,5,97.56,5.89,67.82,76.6,73.9,69.85,75.65,0.94,16.67,8.78,19.7,11.93,12.98,9.06,13.22,11.05,28.44,13.43,10.05,7.89,4.5,6.77,6.3,10.8,6.07,7.59,6.55,12.03,4.38,17.98,4.94,2.68,4.25,19.86,8.43,9.22,4.06,3.98,13.79,24.41,6.79,3.17,5.67,6.48,5.3,7.75,5.37,4.37,20.81,7.04,14.33,11.44,12.12,8.7,36.21,8.97,8.87
5376,Kia,Automobiles,Auto,5,73.1,13.7,42.18,68.68,58.69,37.07,58.05,2.98,18.49,8.43,9.41,7.57,7,9.82,9.1,13.87,7.77,3.11,7.8,3.79,4.15,9.59,6.82,5.93,18.15,6.45,13.39,13.58,11.37,4.1,19.09,2.9,5.49,7.27,7.63,8.41,4.45,5.25,12.6,4.22,7.43,4.54,6.23,2.71,17.56,7.01,7.05,6.07,11.6,5.58,11.53,13.26,3.95,9.9,3.24,8.8,3.24
578,Lexus,Automobiles,Auto,5,92.45,17.4,83.41,76.74,82.49,65.95,80.74,3,25.02,5.71,16.45,8.55,11.41,10.13,16.51,16.44,30.65,11.57,7.71,9.5,4.67,8.41,6.11,7.29,7.4,6.97,7.57,8.05,6.97,15.05,7.55,2.17,5.23,18.59,7.44,10.87,4.19,4.68,9.99,21.41,9.34,3.96,5.85,4.68,5.82,7.17,6.63,5.32,20.83,5.02,14.97,15.07,7.6,10.35,33.41,10.29,10.03
15,Lincoln,Automobiles,Auto,5,93.14,39.02,86.99,80.16,86.16,80.05,86.25,2.23,19.25,7.15,16.36,9.17,13.63,6.65,16.26,20.88,26.18,9.45,9.73,6.9,1.93,7.58,5.57,5.6,8.24,4.14,5.9,4,5.87,11.4,6.13,1.46,5.52,15.21,7.84,11.51,3.85,5.81,18.14,17.06,8.52,4.2,7.94,4.26,7.7,10.01,6.03,5.83,13.15,11.38,7.88,16.85,6.5,8.29,28.12,5.81,9.66
27009,Maserati,Automobiles,Auto,5,96.9,0.8,29.89,42.89,40.17,32.41,39.85,0.48,13.3,8.77,18.16,12.53,12.49,7.79,9.33,6.1,26.03,15.35,9.71,4.09,4.85,6.2,4.03,12.34,4.74,9.56,3.69,11.38,3.64,15.75,5.41,1.73,3.46,18.44,8,8.87,4.14,3.38,11.67,25.73,7.3,2.75,5.56,4.3,4.47,7.59,4.92,4.63,16.22,3.79,12.87,7.7,12.9,7.49,29.78,8.74,6.26
16,Mazda,Automobiles,Auto,5,74.16,24.58,57.59,78.09,68.56,47.2,67.18,2.72,21.29,8.32,9.27,7.24,8.68,9.04,9.98,14.68,13.85,3.16,6.85,3.92,5.96,8.58,6.73,7.5,14.69,7.16,9.43,12.49,8.12,4.1,14.95,2.9,5.34,11.6,8.56,7.25,5.14,4.55,11.36,4.64,6.82,4.83,6.53,3.3,11.43,7.6,5.31,6.01,11.35,5.82,14.09,13.57,4.07,9.69,6.57,9.65,4.35
17,Mercedes-Benz,Automobiles,Auto,5,97.59,7.15,88.98,79.41,87.42,72.67,85.67,1.88,20.94,7.1,20.34,10.6,13.99,10.67,18.93,18.29,38.96,16.1,11.48,12.12,3.74,8.93,5.95,7.21,7.78,7.45,6.48,11.03,4.71,20.16,6.47,2.81,4.46,22.95,8,12.9,3.41,4.04,14.13,28.83,9.27,3.46,5.6,5,3.92,8.37,6.69,5.84,23.21,8.24,13.33,17.49,11.26,10.78,42.83,9.51,12.1
588,Mercury,Automobiles,Auto,5,33.22,24.78,51.82,71.43,63.85,21.1,57.62,2.37,17.26,8.17,7.77,5.65,6.31,5.22,9.21,14.7,14.08,3.42,6.94,3.77,4.69,7.16,3.49,6.09,12.87,4.26,7.73,6.79,4.14,3.68,11.35,3.05,5.81,7.41,8.24,8.1,5.54,5.84,15.02,5.98,4.98,4.87,5.87,2.33,9.23,7.38,6.62,5.51,8.65,10.9,8.81,13.56,4.24,7.32,6.92,6.94,2.91
26467,Mini Cooper,Automobiles,Auto,5,98.82,3.47,38.62,57.34,51.91,70.89,60.78,0.72,15.21,17.12,16.51,14.51,8.89,10.36,9.62,11.37,13.97,2.71,10.33,3.82,7.7,6.67,10.68,10.85,12.91,8.79,12.16,22.32,11.38,3.81,10.91,2.58,5.12,8.15,11.33,7.8,4.21,3.38,18.23,4.86,6.83,3.92,3.92,1.7,12.6,8.22,7.01,4.93,14.89,4.56,22.24,10.67,3.26,7.57,9.97,9.62,3.82
18,Mitsubishi Vehicles,Automobiles,Auto,5,50.01,16.14,41.77,72.78,60.03,24.09,55.18,1.68,16.56,6.83,6.61,7.04,7.83,8.12,7.79,14.16,11.66,3.04,5.02,4.55,4.16,6.58,4.64,6.44,12.56,7.93,8.73,10.36,6.18,3.72,10.77,2.55,4.41,9.5,6.55,7.83,4.1,3.56,10.42,3.67,4.49,3.83,6.39,2.32,9.61,6.47,5.9,5.41,10.81,4.24,10.6,11.67,3.41,9,7.58,8.18,3.42
19,Nissan,Automobiles,Auto,5,72.21,51.22,79.59,82.72,82.74,63.94,80.45,6.28,28.79,7.2,9.61,6.62,8.72,9.85,12.98,21.72,16.26,2.48,8.04,5.53,4.27,11.61,3.85,5.58,17.88,7.83,12.52,10.87,8.59,4.53,17.24,2.7,6.43,10.63,8.85,10.32,4.25,4.86,12.79,5.9,8.01,3.97,6.97,2.09,13.57,6.96,8.4,7.5,11.9,6.68,12.12,17.9,3.19,12.43,6.18,9.84,5.32
21,Porsche,Automobiles,Auto,5,99.14,5,78.67,76.89,79.82,77.75,81.08,0.69,17.85,8.76,20.32,13.28,16.75,10.61,16.05,12.51,31.35,15.27,11.3,9.12,5.9,7.83,6.17,13.8,6.16,12.03,6.65,17.21,4.9,18.95,5.58,2.04,3.85,24.77,8.59,11.93,4.76,4.2,12.7,25.75,8.28,4.06,7.55,8.1,4.81,8.71,6.57,4.99,22.39,5.98,16.01,12.85,12.15,9.55,36.98,10.41,9.03
23,Rolls-Royce,Automobiles,Auto,5,96.99,1.21,73.84,70.77,75.37,38.67,70.05,0.51,14.19,7.44,20.99,14.67,10.5,6.61,14.99,11.9,34.07,18.49,12.06,12.04,2.93,6.71,6.14,5.15,5.69,4.27,4.98,6.22,2.89,20.05,4.09,1.62,3.57,16.85,8.68,9.78,3.25,3.2,13.64,29.54,4.52,4.37,4.8,4.26,4.52,7.65,4.75,4.47,17.9,10.33,9.76,12.13,17.09,7.02,42.34,6.7,11.13
604,SAAB,Automobiles,Auto,5,90.53,3.3,32.36,64.05,52.45,36.92,52.4,0.72,12.55,9.3,13.47,9.88,9.19,8.72,8.33,10.76,16.29,6.37,6.79,3.54,4.47,6.44,4.3,5.07,11.44,6.7,6.61,7.24,4.92,6.03,6.4,2.2,5.1,8.68,8.15,8.58,3.6,5.31,13.44,10.26,5.82,4.28,5.05,3.29,8.08,6.8,5.95,5.58,11.36,6.84,11.67,12.91,6.35,8.54,17.1,6.96,4.23
-233,Scion,Automobiles,Auto,5,82.97,3.85,17.17,34.48,29.74,28.17,28.34,0.98,12.67,10.12,11.39,9.69,5.24,9.46,8,9.69,8.72,3.11,5.11,2.39,4.03,7.03,4.7,7.5,12.53,6.12,8.98,12.53,7.38,3.27,10.76,1.65,4.19,7.28,7.74,5.5,4.34,5.32,11.65,3.64,8.19,4.76,4.54,1.25,11.21,7.34,6.45,4.01,8.92,2.64,16.18,8.55,5.73,6.27,5.59,10.15,2.81
10562,Smart (car),Automobiles,Auto,5,99.6,4.57,19.01,49.38,39.74,82.57,53.86,0.58,13.48,18.54,13.45,15.74,9.76,17.99,9.38,7.8,8.3,4.06,8.16,4.62,4.98,8.13,6.98,9.26,14.78,4.02,10.38,13.29,12.04,4.24,9.94,4.93,7.22,5.67,6.9,11.46,4.6,4.73,17.8,3.66,13.61,4.68,3.2,1.49,13.15,7.24,12.95,3.56,6.3,2.62,19.76,7.34,5.24,10.58,6.54,17.77,4.23
608,Subaru,Automobiles,Auto,5,67.13,17.05,63.77,75.74,71.03,35.6,66.09,2.53,21.1,9.13,9.16,6.83,7.58,7.68,10.08,18.45,15.86,2.74,7.65,4.71,4.54,8.89,5.46,5.78,17.38,7.85,9.87,9.72,6.65,4.49,13.24,2.75,6.6,10.83,7.7,9.07,4.63,5.37,12.56,4.73,7.96,4.32,13.27,1.82,11.13,8.21,9.17,7.14,9.34,6.42,10.58,17.81,3.06,8.14,7.49,8.95,5.18
-27755,Tesla,Automobiles,Auto,5,92.62,15.19,25.21,22.71,22.71,64.34,31.35,0.48,10.79,9.07,11.16,11.12,8.45,12.67,8.72,9.26,9.03,4.09,6.49,4.2,4.29,5.7,3.53,9.97,7.46,7.7,4.45,6.79,7.31,6.81,6.29,3.74,5.08,7.63,9.33,8.45,4.29,4.68,12.61,7.29,9.1,3.73,6.55,3.8,10.25,7.27,8.55,5.64,7.97,4.45,11.61,8.35,4.31,7.52,8.52,11.79,4.78
25,Toyota,Automobiles,Auto,5,74.65,80.65,96.99,93.02,96.61,85.87,94.89,13.82,39.2,6.36,8.86,7.05,9.24,11.17,21.84,29.83,23.68,4.21,8.77,11.43,5.23,16.58,6.75,7.45,25.83,9.67,17.08,12.67,11.25,4.24,23.91,3.95,8.64,18.01,7.34,11.72,6.47,5.38,13.88,5,10.19,5.28,9.85,3.29,14.82,9.05,11.64,9.3,12.52,7.39,13.64,26.72,3.29,14.6,7.18,13.39,10.93
26,Volkswagen,Automobiles,Auto,5,87.25,24.69,78.38,86.19,83.09,61.79,80.51,2.4,25.76,10.09,13.36,9.12,6.61,8.82,13.26,20.05,16.45,2.89,11,5.58,6.92,9.02,8.47,7.18,20.44,7.78,15.01,17.69,9,4.67,17.28,2.58,5.54,11.06,9.14,10.31,5.07,5.79,18.84,5.7,8.17,4.59,8.66,2.51,15.76,9.84,9.29,8.09,10.5,10.73,13.89,19.1,3.53,9.55,5.74,9.01,5.8
27,Volvo,Automobiles,Auto,5,78.9,8.5,78.7,76.69,79.79,34.48,72.98,1.6,20.23,7.56,13.49,7.89,7.14,8.02,13.92,19.76,24.67,6.74,9.04,5.73,4,8.95,4.82,5.49,12.57,6.09,7.08,5.67,5.56,5.41,9.35,3.15,5.58,14.65,8.98,12,3.97,5.08,12.35,11.2,7.13,5.38,9.65,2.56,8.06,6.06,8.68,6.78,12.57,8.42,10.66,19,6.12,8.26,19.69,8.15,6.8
-25481,Ford SYNC,In-Vehicle Technology,,587,96.53,55.64,72.04,31.04,49.76,90.7,65.72,4.57,20.9,10.5,12.98,10.33,10.1,14.89,15.1,16.28,15.98,4.56,7.81,5.82,5.26,9.27,4.12,7.53,11.44,7.47,10.99,10.85,10.53,4.94,11.28,3.47,12.6,10.9,7.25,18.01,6.18,6.86,14.03,5.71,10.42,5.47,6.63,4.3,8.89,9.84,8.3,6.99,7.56,6.09,12.83,15.55,5.41,16.35,8.05,16.09,7.17
-23767,Garmin,In-Vehicle Technology,,587,86.65,88.89,94.11,53.75,83.78,94.2,89.49,21.85,36.19,5.16,9.3,7.24,9.24,16.8,21.72,23.25,20.24,3.37,8.56,11.46,4.05,9.43,3.89,6.16,16.06,6.55,10.28,9.84,11.92,4.44,15.15,3,17.92,16.34,7.9,19.44,4.61,5.3,14.04,5.74,9.41,3.71,6.14,2.69,11.8,9.24,7.33,9.35,6.46,5.18,11.29,21.61,2.54,18.2,5.37,12.27,11.02
-24035,OnStar,In-Vehicle Technology,,587,92.1,52.43,89.81,66.41,84.04,83.78,85.73,8.7,33.99,8.1,12.74,9.68,9.43,11.84,19.98,23.51,17.78,3.9,9.24,10.72,4.61,16.05,2.94,7.41,12.55,6.67,14.83,6.48,12.31,3.74,11.41,4.14,21.86,13.86,7.12,19.3,6.13,7.31,17.17,7.14,11.06,3.32,4.49,1.79,8.67,9.81,10.69,6.93,5.76,5.27,12.01,24.47,5,13.37,9.84,15.48,10.35
-15798,TomTom,In-Vehicle Technology,,587,75.57,58.2,74.45,44.27,62.16,70.97,67.01,6.27,27.14,7.51,10.63,6.65,5.65,12.53,15.79,15.12,14.43,5.52,8.75,6.22,5.68,9.21,4.79,3.59,15.73,5.56,11.08,10.88,9.93,2.9,11.29,3.22,18.91,13.03,6.67,18.36,8.68,7.83,10.59,4.98,8.19,5.07,9.11,2.75,13.71,6.89,6.7,7.52,9.44,8.38,7.47,14.27,3.17,10.59,5.5,10.62,8.51
-27861,UVO,In-Vehicle Technology,,587,51.62,22.02,8.93,4.16,1.84,30.09,1.84,1.06,12.3,8.58,5.72,11.45,4.52,6.51,9.51,5.51,9.41,4.47,7.51,3.98,8.61,8.94,6.53,6.48,14.78,9.01,9.42,8.31,7.06,8.16,10.66,5.53,7.28,6.02,9.01,9.76,8.47,8.54,10.64,6.04,4.8,6.85,4.06,2.78,10.61,12.13,5.82,10.3,4.66,4.79,8.1,10.74,8.5,10.53,9.38,7.05,2.77
-27756,AC Delco,Auto Care & Related Products,Auto,4,8.67,74.56,82.11,56.9,74.88,33.68,68.27,18.48,36.53,4.48,6.66,5.57,5.07,5.51,14.28,20.5,16.45,2.12,8.68,6.29,4.58,10.23,2.84,3.72,16.45,9,7.21,3.1,5.05,2.65,13.81,3.21,10.85,12.54,6.79,6.74,4.96,5.92,13.89,3.87,5.42,4.04,12.67,2.15,12.84,5.64,5.8,7.96,3.47,9.36,4.7,19.86,2.96,7.75,5.17,6.12,5.62
-27768,Anco,Auto Care & Related Products,Auto,4,38.27,62.42,49.96,13.32,21.96,45.99,26.07,9.29,22.83,9.65,7.06,4.57,5,7.74,10.33,14.34,12.32,2.47,8.17,4.5,5.72,7.24,3.33,5.16,13.53,5.98,7.35,4.62,4.76,3.7,14.66,3.61,8.39,9.42,6.74,8.68,5.02,4.99,11.73,4.65,5.38,4.55,9.35,1.51,16.66,7.07,6.98,7.66,4.95,6.55,5.41,12.95,3.19,7.44,3.8,7.43,5.54
-27757,Autocraft,Auto Care & Related Products,Auto,4,29.06,72.93,69.34,37.21,53.32,50.33,57.31,13.41,27.77,5.62,6.59,6.7,6.71,6.72,11.03,18.68,14.74,2.52,8.7,4.05,4.7,10.21,2.96,4.12,17.89,7.74,7.41,4.02,5.9,4,14.49,3.09,9.21,11.31,6.76,7.08,5.62,5.65,12.8,3.31,5.57,3.73,11.38,2.45,13.21,6.55,6.88,7.48,4.39,7.92,6.2,18.1,2.99,9.05,4.78,7.45,4.83
-27767,Autolite,Auto Care & Related Products,Auto,4,11.74,71.78,72.95,42.06,59.63,34.57,58.08,13.84,29.3,5.77,6.54,4.43,4.89,6.65,11.81,19.08,14.4,2.2,6.44,4.08,5.01,10.08,3.18,3.67,15.15,6.81,6.59,2.64,5.66,3.75,15.95,2.56,10.15,9.53,6.4,6.98,5.27,5.81,11.18,3.39,4.25,3.42,10.48,2.3,12.58,4.82,6.6,8.86,2.68,7.71,5.71,16.67,3.25,7.41,3.9,6.71,5.56
28,Bosch,Auto Care & Related Products,Auto,4,60.24,67.9,81.83,53.8,72.95,67.44,74.33,19.78,34.21,6,9.73,6.1,7.94,8.98,14.88,18.7,23.36,2.62,8.25,8.14,3.83,8.42,3.49,4.91,11.23,6.37,6.88,4.48,5.5,3.53,11.05,3.87,9.37,13.72,6.76,10.18,4.55,4.91,12.02,7.86,6.96,3.99,10.19,2.33,9.86,5.96,6.62,6.66,5.6,6.59,7.63,16.77,3.55,9.45,9.57,8.66,8.64
3651,Champion Auto Parts,Auto Care & Related Products,Auto,4,4.91,72.09,81.08,54.61,73.04,24.35,64.63,22.04,37.92,4.39,6.31,4.64,5.08,5.17,13.97,21.94,17.2,1.86,8.02,5,3.82,10.78,2.55,3.76,17.17,8.16,7.67,2.82,4.43,3.42,17.6,2.62,13.08,15.05,7.32,6.43,4.01,5.68,12.47,3.42,4.78,3.71,12.58,2.43,13.26,5.73,5.75,8.86,2.95,8.15,5.47,21.92,2.98,8.64,4.78,6.26,5.82
9564,DEKA,Auto Care & Related Products,Auto,4,53.83,47.32,10.45,4.22,2.27,46.48,3.79,3.03,15.83,9.35,8.9,7.83,4.67,6.47,7.17,8.39,8.21,3.19,6.06,4.07,4.83,8.06,5.56,4.1,11.7,7.69,6.62,6.41,6.48,6.77,8.96,5.15,6.65,6.19,9.71,6.11,5.09,4.81,10.76,3.59,4.5,4.95,5.55,3.69,11.42,7.09,8.13,8.8,5.07,7.12,7.87,9.33,5.66,6.51,4.31,7.62,4.17
25085,Denso,Auto Care & Related Products,Auto,4,74.13,57.48,30.46,4.08,6.29,69.28,12.89,3.64,16.25,7.23,7.41,8.58,8.3,11.02,9.82,9.02,10.55,4.48,7.38,5.19,6.44,9.3,3.88,5.65,13.4,7.02,6.67,4.71,6.71,6.48,9.2,4.34,7.23,7.98,6.33,8.01,6.42,8.14,13.09,6.88,7.07,5.37,8.47,3.04,11.9,8.86,9.49,8.66,5.21,6.85,6.18,11.52,6.26,6.78,5.64,6.97,5.83
